strain	family	color	group
Root29	Comamonadaceae	#BE0032	5
Root61	Microbacteriaceae	#E68FAC	9
Root68	Pseudomonadaceae	#F6A600	13
Root77	Caulobacteraceae	#A1CAF1	4
Root83	Alcaligenaceae	#F3C300	1
Root101	Intrasporangiaceae	#008856	8
Root131	Bacillaceae	#875692	2
Root142	Rhizobiaceae	#B3446C	14
Root265	Mycobacteriaceae	#0067A5	10
Root418	Oxalobacteraceae	#F99379	11
Root480	Xanthomonadaceae	#882D17	16
Root685	Hyphomicrobiaceae	#848482	7
Root695	Phyllobacteriaceae	#604E97	12
Root720	Sphingomonadaceae	#8DB600	17
Root935	Flavobacteriaceae	#C2B280	6
Root1310	Streptomycetaceae	#DCD300	15
Root123D2	Bradyrhizobiaceae	#F38400	3
LjNodule218	Phyllobacteriaceae	#604E97	12
LjRoot1	Alcaligenaceae	#F3C300	1
LjRoot5	Bacillaceae	#875692	2
LjRoot17	Caulobacteraceae	#A1CAF1	4
LjRoot24	Intrasporangiaceae	#008856	8
LjRoot33	Oxalobacteraceae	#F99379	11
LjRoot44	Microbacteriaceae	#E68FAC	9
LjRoot46	Rhizobiaceae	#B3446C	14
LjRoot52	Bradyrhizobiaceae	#F38400	3
LjRoot59	Pseudomonadaceae	#F6A600	13
LjRoot60	Xanthomonadaceae	#882D17	16
LjRoot72	Comamonadaceae	#BE0032	5
LjRoot80	Mycobacteriaceae	#0067A5	10
LjRoot82	Flavobacteriaceae	#C2B280	6
LjRoot222	Hyphomicrobiaceae	#848482	7
LjRoot262	Sphingomonadaceae	#8DB600	17
LjRoot303	Streptomycetaceae	#DCD300	15
